Configure Soot Confluence 1 Intra;Time to perform Confluence 1 Intra;Configure Soot Confluence 2 Intra;Time to perform Confluence 2 Intra;Configure Soot Confluence 1 Inter;Time to perform Confluence 1 Inter;Configure Soot Confluence 2 Inter;Time to perform Confluence 2 Inter;Configure Soot OA Inter;Time to perform OA Inter;Configure Soot DFP Intra left-right;Configure Soot DFP Intra right-left;Time to perform DFP Intra left-right;Time to perform DFP Intra right-left;Configure Soot DFP Inter left-right;Configure Soot DFP Inter right-left;Time to perform DFP Inter left-right;Time to perform DFP Inter right-left;Configure Soot CD left-right;Configure Soot CD right-left;Time to perform CD left-right;Time to perform CD right-left;Configure Soot CDe left-right;Configure Soot CDe right-left;Time to perform CDe left-right;Time to perform CDe right-left;Configure Soot PDG left-right;Configure Soot PDG right-left;Time to perform PDG left-right;Time to perform PDG right-left;Configure Soot PDGe left-right;Configure Soot PDGe right-left;Time to perform PDGe left-right;Time to perform PDGe right-left
1.59400;0.28900;0.63900;0.00800;1.60800;0.35500;0.81100;0.01400;1.74900;1.84300;1.61300;1.63900;0.34800;0.37100;1.63600;1.64600;0.38900;0.33300;1.65000;1.68700;0.10500;0.10600;1.71100;1.61100;0.11100;0.06400;1.63200;1.56000;0.37600;0.39300;1.64600;1.70800;0.39500;0.40600
1.60700;0.33300;0.77500;0.01700;1.64200;0.37400;0.78800;0.01300;1.70200;1.78800;1.62400;1.61500;0.37500;0.35700;1.62100;1.62300;0.34200;0.36200;1.69900;1.66600;0.10100;0.09900;1.75900;1.66300;0.10500;0.11000;1.67200;1.65300;0.44500;0.39600;1.64500;1.63900;0.39000;0.42000
46.99400;5.65100;47.58400;8.96700;47.97800;16.76400;45.59900;33.74000;46.87700;52.77100;48.56800;48.64900;6.81100;12.17200;47.79000;48.20500;15.36300;26.11400;46.77300;47.27700;6.76200;6.79400;46.92800;47.55100;0.89800;0.90200;47.01400;47.34800;9.33700;7.42400;47.57300;46.80300;10.82500;1.31900
1.42800;1.48600;0.63200;0.17200;1.35800;2.19900;0.65700;0.28100;1.41400;1.62600;1.38800;1.43300;1.27400;0.99600;1.41800;1.40900;1.58300;1.20300;1.35600;1.33700;0.87400;0.93100;1.33200;1.32300;0.85200;0.74600;1.33700;1.31900;1.27900;1.34900;1.39100;1.31500;1.33400;1.21100
1.90300;0.99600;0.93800;0.20600;1.93600;1.08400;0.93100;0.25400;2.08000;2.20200;1.87900;1.94300;0.89200;0.93500;1.93200;1.91600;1.09900;1.05100;1.93700;1.98400;0.90800;0.74300;2.07400;1.92000;0.79100;0.75000;2.01500;1.91900;1.27600;1.22400;1.94900;1.92000;1.17700;0.95700
1.16100;1.04000;0.37300;0.10200;1.15900;1.18000;0.36200;0.16300;1.23800;1.47400;1.15300;1.18200;0.82500;0.86700;1.16300;1.18900;1.02700;1.06400;1.17700;1.19000;0.73600;0.70100;1.16100;1.16400;0.60600;0.08600;1.16100;1.15000;0.94000;0.92600;1.17900;1.15000;0.91800;0.96500
1.06000;0.62800;0.35600;0.06400;1.05200;0.61900;0.36600;0.07300;1.09700;1.20500;1.06100;1.05000;0.82400;0.81200;1.02000;1.05100;0.83800;0.83300;1.05700;1.06600;0.62000;0.09000;1.05500;1.07400;0.62300;0.08800;1.04400;1.03400;0.94200;0.98300;1.03000;1.00900;0.95000;0.57800
1.22400;0.85700;0.36900;0.01000;1.21600;0.85400;0.36700;0.00700;1.29100;1.42800;1.21700;1.23600;0.42200;0.09900;1.20600;1.20300;0.54100;0.10100;1.26300;1.22000;0.59900;0.08600;1.22300;1.24200;0.59800;0.08800;1.19500;1.21800;0.77500;0.32200;1.21900;1.19200;0.14400;0.75600
1.09000;0.82300;0.33400;0.00800;1.14300;0.97200;0.35600;0.01100;1.20400;1.36600;1.14100;1.12500;0.63800;0.29500;1.17300;1.11000;0.72800;0.29600;1.14400;1.16300;0.56200;0.08600;1.14000;1.15200;0.66700;0.59000;1.14000;1.15600;0.72500;0.32300;1.14500;1.11900;0.33200;0.79500
1.16600;1.05300;0.34800;0.00800;1.13500;1.63100;0.39800;0.00800;1.20700;1.30400;1.13700;1.13000;0.77000;0.28700;1.13000;1.15800;0.99300;0.31500;1.15300;1.15100;0.67600;0.60300;1.17700;1.15900;1.65500;1.64500;1.12500;1.11400;0.76600;0.31700;1.12900;1.13700;0.32600;0.98700
1.18200;0.85000;0.41100;0.09800;1.18400;0.79900;0.37200;0.10500;1.26300;1.38400;1.19200;1.21400;0.74500;0.73900;1.20100;1.21000;0.82600;0.82100;1.26600;1.23200;1.10300;1.12100;1.22100;1.23500;0.72800;0.74600;1.16300;1.22000;0.79700;0.77700;1.21500;1.15900;0.78800;0.74600
1.28100;0.69500;0.51700;0.08700;1.28900;0.67800;0.49300;0.07100;1.36200;1.48400;1.28900;1.28500;0.67000;0.59000;1.27100;1.28500;0.66800;0.57500;1.32200;1.34200;0.74100;0.74400;1.35300;1.30400;1.68100;1.01500;1.26500;1.27000;0.75200;1.47800;1.29500;1.29800;2.92700;2.72500
1.42000;1.18100;0.44000;0.62700;1.42200;5.89000;0.31900;5.37900;1.51200;1.90100;1.24200;1.38700;0.97700;1.20300;1.40800;1.42000;4.32800;4.41300;1.42400;1.45700;1.15800;0.95000;1.47600;1.41000;0.82700;0.84400;1.38900;1.41100;1.46500;0.95900;1.39300;1.42100;0.93400;0.91500
1.37400;0.83700;0.42900;0.21500;1.39000;0.97600;0.45700;0.16400;1.45400;1.61000;1.41300;1.36600;0.81600;0.80500;1.39200;1.36600;0.90700;0.87500;1.40200;1.39400;0.86200;0.85600;1.43900;1.39900;0.83800;0.82000;1.36300;1.36100;0.97400;1.54100;1.39900;1.38100;2.80800;2.80900
