Confluence Intra;Confluence Inter;OA Inter;DFP Intra left-right;DFP Intra right-left;DFP Inter left-right;DFP Inter right-left
0,0,0,0,0;0,0,0,0,0;0;0,0,0;0,0,0;0,0,0;0,0,0
0,0,0,0,0;0,0,0,0,0;0;0,0,0;0,0,0;0,0,0;0,0,0
85,481,241,1643,834;412,4451,2583,6154,3639;597;8,452,227;77,1612,819;184,4412,2566;228,6107,3619
8,520,308,300,197;33,836,540,525,327;7;7,520,308;1,300,197;20,836,540;13,525,327
6,168,86,187,95;20,268,147,272,149;1;2,168,86;4,187,95;10,268,147;10,272,149
11,175,86,117,63;44,359,198,351,194;49;8,175,86;3,117,63;22,359,198;22,351,194
3,88,44,68,35;4,92,48,85,44;1;2,88,44;1,68,35;2,92,48;2,85,44
3,103,47,0,0;12,192,96,0,0;9;3,103,47;0,0,0;12,192,96;0,0,0
10,103,46,0,0;16,150,81,0,0;40;10,103,46;0,0,0;16,150,81;0,0,0
3,164,90,0,0;16,540,298,0,0;1;3,164,90;0,0,0;16,538,298;0,0,0
3,113,62,104,58;10,149,83,147,82;4;2,113,62;1,104,58;5,149,83;5,147,82
2,52,25,52,25;2,52,25,52,25;1;1,52,25;1,52,25;1,52,25;1,52,25
10,295,154,447,231;188,2663,1559,2702,1581;108;1,293,154;9,445,231;94,2652,1555;94,2691,1577
7,98,51,140,67;16,189,97,193,98;12;2,99,51;5,140,67;8,190,97;8,193,98
2,281,145,281,145;140,2069,1218,2069,1218;60;1,279,145;1,279,145;70,2058,1214;70,2058,1214
8,136,67,87,45;80,893,546,874,536;88;6,136,67;2,87,45;40,868,533;25,511,283
3,164,86,128,66;50,520,287,514,284;46;2,156,82;1,120,62;25,505,280;21,480,268
3,196,104,160,84;42,486,271,480,268;43;2,190,101;1,154,81;21,474,265;28,937,517
2,173,96,173,96;56,938,517,938,517;15;1,173,96;1,173,96;28,937,517;128,2655,1586
14,346,170,230,121;255,2655,1586,2620,1569;32;13,346,170;1,230,121;127,2620,1569;132,3289,1990
53,1036,521,420,219;227,3289,1990,2608,1577;203;44,1036,521;9,420,219;95,2608,1577;20,858,499
6,294,168,242,136;40,864,502,854,496;3;3,294,168;3,242,136;20,848,493;5,122,61
4,106,52,111,54;10,122,61,122,61;25;2,106,52;2,111,54;5,122,61;0,0,0
2,0,0,267,131;26,0,0,877,476;0;0,0,0;2,267,131;26,873,476;10,246,136
7,167,90,187,99;20,245,136,246,136;7;4,187,99;9,261,131;18,365,196;19,354,182
12,261,131,60,29;37,365,196,348,179;3;3,60,29;14,362,176;28,523,272;21,396,202
16,362,176,46,22;49,524,272,391,199;26;2,46,22;2,177,92;31,654,365;31,654,365
5,177,92,180,93;62,659,367,659,367;92;3,180,93;4,320,164;12,432,234;12,411,223
5,320,164,263,138;24,432,234,411,223;70;1,263,138;1,19,10;34,971,572;129,2737,1633
3,98,55,19,10;68,984,578,975,572;3;16,394,191;13,369,184;130,2735,1631;141,3829,2215
29,394,191,369,184;259,2755,1639,2749,1635;516;26,799,403;1,126,66;91,2133,1202;27,545,305
27,799,403,126,66;232,3866,2230,2160,1213;120;4,175,90;9,322,170;73,2210,1308;72,2197,1300
8,175,90,187,99;54,545,305,556,311;3;1,198,107;3,181,98;27,974,574;69,2106,1197
10,322,170,198,107;145,2222,1313,2209,1305;571;3,185,95;2,250,125;69,2112,1200;522,16494,10107
6,183,99,187,96;54,976,575,974,573;23;4,277,137;289,8069,4272;48,1813,1050;193,6122,3696
6,250,125,271,134;138,2116,1200,2115,1200;28;1,98,47;17,328,159;452,18266,12027;64,3741,2432
290,8059,4267,98,47;570,16518,10117,1787,1037;237;373,12362,7144;4,1139,588;64,3741,2432;40,1164,625
390,328,159,12362,7144;645,6116,3692,18270,12027;258;4,1137,587;2,95,55;40,1164,625;3,155,75
8,1139,588,1137,587;128,3745,2434,3745,2434;117;2,104,58;1,140,69;3,155,75;31,555,300
4,95,55,104,58;80,1173,625,1173,625;13;1,140,69;15,287,136;27,511,279;6,82,45
2,140,69,140,69;6,155,75,155,75;2;6,142,68;5,67,32;6,74,41;128,2749,1609
21,287,136,142,68;58,555,300,511,279;32;1,47,24;1,1000,533;128,2755,1612;10,408,240
6,67,32,47,24;12,82,45,74,41;7;3,1014,538;3,298,153;10,418,245;124,2680,1562
4,1012,538,1024,542;256,2761,1614,2765,1616;220;4,311,159;1,982,523;124,2688,1566;54,1841,1087
7,306,157,311,159;20,416,244,418,245;1;4,1002,530;1,351,195;54,1861,1097;59,2343,1425
5,994,528,1012,534;248,2692,1567,2698,1570;216;1,371,205;1,447,252;59,2351,1429;91,3598,2162
2,365,202,365,202;108,1925,1129,1925,1129;11;1,455,256;1,294,149;91,3598,2162;15,367,215
2,469,263,469,263;118,2469,1488,2469,1488;5;1,294,149;1,122,61;15,373,218;31,910,516
2,306,152,306,152;182,3763,2240,3763,2240;57;1,128,64;4,157,78;31,916,520;27,544,299
2,110,55,110,55;30,355,209,355,209;11;7,302,152;5,189,96;27,550,302;14,290,162
11,157,78,302,152;62,914,518,920,522;13;4,196,100;5,178,90;14,296,165;32,985,549
9,189,96,196,100;54,548,301,554,304;11;4,185,94;1,299,165;32,985,549;16,227,119
9,178,90,185,94;28,290,162,296,165;4;1,299,165;2,129,63;16,227,119;21,332,174
2,301,165,301,165;64,991,551,991,551;3;1,126,62;3,187,89;21,332,174;2,111,61
3,128,63,126,62;32,226,119,227,119;15;3,186,87;1,101,55;2,111,61;1,267,143
6,187,89,182,85;42,332,174,328,172;24;1,101,55;1,267,143;1,267,143;4,170,88
2,101,55,101,55;4,111,61,111,61;1;1,267,143;2,148,76;4,170,88;2,359,187
2,267,143,267,143;2,267,143,267,143;1;1,145,75;1,184,95;2,359,187;3,289,152
3,148,76,145,75;8,170,88,170,88;2;1,184,95;1,105,54;3,289,152;0,0,0
2,184,95,184,95;4,359,187,359,187;1;1,105,54;0,0,0;3,283,143;0,0,0
2,105,54,105,54;6,289,152,289,152;2;1,266,134;0,0,0;3,337,175;23,390,223
1,0,0,320,160;3,0,0,337,169;0;1,213,109;2,94,48;0,0,0;0,0,0
1,0,0,213,109;3,0,0,337,175;0;0,0,0;0,0,0;0,0,0;108,1914,1103
2,94,48,0,0;23,390,223,0,0;1;0,0,0;5,127,68;108,1910,1101;42,1470,844
