Configure Soot Confluence 1,Time to perform Confluence 1,Configure Soot Confluence 2,Time to perform Confluence 2,Configure Soot OA Inter,Time to perform OA Inter,Configure Soot DFP left-right,Configure Soot DFP right-left,Time to perform DFP left-right,Time to perform DFP right-left,Configure Soot PDG left-right,Configure Soot PDG right-left,Time to perform PDG left-right,Time to perform PDG right-left
1.64700,0.38700,0.78100,0.01500,1.77200,1.85700,1.63800,1.26700,0.36300,1.36800,1.68100,1.25700,0.42100,1.17400
1.57700,0.35400,0.97000,0.01400,1.73500,1.82200,1.58000,1.25600,0.36400,1.30100,1.67500,1.21800,0.38800,1.13500
47.62800,15.24100,45.51300,25.81900,47.43300,52.10500,1.59300,1.32900,0.36100,1.14200,1.67100,1.32200,0.39200,1.13000
1.25100,2.15300,0.70900,0.28500,1.39400,1.61400,1.62400,1.29200,0.37900,1.06500,1.65200,1.38800,0.38800,1.07500
1.98900,1.07000,0.93600,0.22200,2.06900,2.20400,47.77400,1.34000,14.93800,1.45300,46.44600,1.34700,7.32500,1.25800
1.17900,1.20200,0.38500,0.16100,1.25000,1.45300,48.01500,1.34700,19.47600,1.43000,46.70800,1.33300,10.82400,1.29200
1.06500,0.79700,0.35100,0.07400,1.15600,1.26100,1.38000,1.20700,1.62000,0.97400,1.34800,1.20300,1.29700,1.10700
1.25000,1.06100,0.38200,0.00900,1.28500,1.42100,1.39500,1.25500,1.15900,0.97600,1.32300,1.23000,1.34300,1.07700
1.12700,1.00400,0.35100,0.00700,1.20800,1.37300,1.87200,1.57600,1.03300,1.07200,1.98000,1.58700,1.19400,1.14000
1.17500,1.62300,0.40600,0.01000,1.23200,1.34200,2.03600,1.60200,1.07300,0.99700,1.95800,1.58100,1.19500,1.15000
1.18600,1.00000,0.44300,0.10300,1.30900,1.42900,1.17400,1.10800,1.04600,0.74200,1.18100,1.11200,0.97600,0.86700
1.32000,0.65800,0.48900,0.06500,1.42500,1.55900,1.19300,1.12100,1.15200,0.72100,1.14700,1.13300,0.92000,0.90700
1.40200,5.85500,0.34900,3.58900,1.35200,1.67000,1.04200,1.13900,0.82500,0.88600,1.05800,1.11400,0.94600,1.19600
1.41300,0.95800,0.47100,0.17500,1.43500,1.59200,1.07200,1.12900,0.85000,0.94300,1.14900,1.13900,1.01000,1.23000
1.31200,4.13200,0.36100,2.00100,1.26500,1.53900,1.20700,1.11400,0.74300,0.81200,1.19800,1.13000,0.59700,0.99100
1.09200,2.08600,0.40100,0.78100,1.13900,1.55800,1.19400,1.11100,0.31800,0.75700,1.23100,1.14000,0.14200,0.95400
