Configure Soot Confluence 1 Intra;Time to perform Confluence 1 Intra;Configure Soot Confluence 2 Intra;Time to perform Confluence 2 Intra;Configure Soot Confluence 1 Inter;Time to perform Confluence 1 Inter;Configure Soot Confluence 2 Inter;Time to perform Confluence 2 Inter;Configure Soot OA Inter;Time to perform OA Inter;Configure Soot DFP Intra left-right;Configure Soot DFP Intra right-left;Time to perform DFP Intra left-right;Time to perform DFP Intra right-left;Configure Soot DFP Inter left-right;Configure Soot DFP Inter right-left;Time to perform DFP Inter left-right;Time to perform DFP Inter right-left;Configure Soot CD left-right;Configure Soot CD right-left;Time to perform CD left-right;Time to perform CD right-left;Configure Soot CDe left-right;Configure Soot CDe right-left;Time to perform CDe left-right;Time to perform CDe right-left;Configure Soot PDG left-right;Configure Soot PDG right-left;Time to perform PDG left-right;Time to perform PDG right-left;Configure Soot PDGe left-right;Configure Soot PDGe right-left;Time to perform PDGe left-right;Time to perform PDGe right-left
1.61800;0.35900;0.90900;0.01500;1.64800;0.35900;0.80800;0.01600;1.70400;1.78700;1.68700;1.60900;0.37700;0.34000;1.65600;1.57800;0.36300;0.35000;1.63500;1.62300;0.10700;0.10400;1.67100;1.67700;0.10500;0.10300;1.51900;1.58900;0.35400;0.39900;1.56300;1.63400;0.37100;0.40600
1.58500;0.36700;0.98500;0.01500;1.62500;0.35100;0.93500;0.01500;1.70200;1.78500;1.75100;1.62200;0.35500;0.34100;1.58600;1.60300;0.31600;0.36700;1.69200;1.63500;0.11000;0.10400;1.62100;1.62600;0.10400;0.10800;1.63800;1.59600;0.42300;0.41400;1.61700;1.61400;0.41100;0.37900
49.25500;8.72100;45.82500;7.69500;47.05200;18.58000;46.33600;30.44600;47.28000;54.53700;48.25500;47.98700;7.54400;9.97500;47.95600;48.30600;17.62000;24.92400;46.49100;47.19400;8.75500;6.45300;47.35700;46.52100;0.88900;0.89700;46.54200;46.57400;7.91800;8.49200;46.47000;47.15100;11.59300;1.28600
1.33500;1.42400;0.61100;0.15800;1.35400;2.36500;0.67300;0.29200;1.39500;1.61800;1.41900;1.41700;1.27600;0.99400;1.41100;1.37100;1.66200;1.17800;1.32000;1.32600;0.90300;0.90200;1.34800;1.36600;0.90400;0.75900;1.35700;1.31800;1.28700;1.35200;1.28800;1.31100;1.38800;1.25000
1.90700;0.98700;0.99100;0.20900;1.88600;1.07000;0.92500;0.24700;2.00800;2.13400;1.94100;1.93000;0.94500;0.94400;1.94000;1.91900;1.04800;1.07800;1.93800;1.94500;0.88600;0.74100;1.99200;2.13800;0.77500;0.77300;1.92800;1.97000;1.25700;1.20400;1.89600;1.91500;1.17400;0.94500
1.23000;1.09800;0.38800;0.11700;1.15600;1.19600;0.38400;0.15900;1.24000;1.47000;1.16700;1.16200;0.86400;0.85900;1.17300;1.13500;1.08500;1.02900;1.17900;1.15300;0.79400;0.73500;1.17100;1.17900;0.60000;0.09400;1.13500;1.16500;0.94900;0.95100;1.13100;1.21500;1.00200;0.91300
1.03400;0.61700;0.35200;0.05600;1.04300;0.64100;0.35600;0.06400;1.09800;1.20300;1.05800;1.05900;0.81300;0.82000;1.06000;1.04200;0.85000;0.84700;1.05500;1.04900;0.61500;0.09400;1.05400;1.04300;0.61200;0.08500;1.03600;1.01700;0.93300;1.00700;1.00600;1.07700;1.06500;0.60800
1.21500;0.71100;0.38200;0.01100;1.25800;1.02900;0.42100;0.01100;1.29100;1.42000;1.23400;1.24700;0.62900;0.10700;1.21300;1.18700;0.53600;0.10300;1.23100;1.24500;0.60900;0.09200;1.20800;1.23900;0.55600;0.08700;1.21700;1.19500;0.77300;0.13300;1.21200;1.18300;0.13700;0.73100
1.09100;0.85800;0.34100;0.00800;1.11600;0.95000;0.34100;0.00800;1.19600;1.35600;1.11900;1.12600;0.63100;0.29000;1.15000;1.12500;0.71900;0.28500;1.15900;1.17300;0.60200;0.08700;1.14900;1.14200;0.66400;0.60100;1.11600;1.12800;0.75200;0.31200;1.11900;1.12100;0.32300;0.80600
1.14900;1.05300;0.34000;0.00800;1.13300;1.68900;0.49200;0.01300;1.21300;1.31000;1.13800;1.11400;0.76300;0.29300;1.14000;1.12500;0.98600;0.28400;1.21100;1.13300;0.63500;0.61100;1.14200;1.13500;1.63800;1.76000;1.13200;1.10600;0.77200;0.31400;1.10400;1.11700;0.33500;0.78600
