ID,project,class,method,merge commit,Confluence Inter,OA Inter,left right DFP-Inter,right left DFP-Inter,left right PDG,right left PDG,Original Sample,Léuson,Roberto,DeSouza,LOI,Locally Observable Interference Description,Lines in the merge commit with changes made by left,Lines in the merge commit with changes made by right,Summary of changes made by left,Summary of changes made by right,Result Analyses,OR Result,Confluence Inter Result,OA Inter Result,DF Inter Result,PDG Result
2,antlr4,org.antlr.v4.codegen.target.Python2Target,python2Keywords,69ff2669eec265e25721dbc27cb00f6c381d0b41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leuson,x,,,-,Left and Right change the same array; which means they change the leght of the object. A test case should explore the array lenght in each merge scenario commit. A test case to detect this conflict can be found here.,[64],[53],Left changes the list of values of an array of Strings during its initialization (adition of a new value),Right changes the list of values of an array of Strings during its initialization (adition of a new value),FALSE,TRUE NEGATIVE,,,,
3,antlr4,org.antlr.v4.codegen.target.Python3Target,python3Keywords,69ff2669eec265e25721dbc27cb00f6c381d0b41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leuson,x,,,-,Left and Right change the same array; which means they change the leght of the object. A test case should explore the array lenght in each merge scenario commit. A test case to detect this conflict can be found here.,[64],[53],Left changes the list of values of an array of Strings during its initialization (adition of a new value),Right changes the list of values of an array of Strings during its initialization (adition of a new value),FALSE,TRUE NEGATIVE,,,,
4,druid,com.metamx.druid.loading.S3SegmentPusher,push(File; DataSegment),05168808c278c080c59c19e858d9471b316cd1f5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Roberto,x,x,,No,There is no locally observable interference as the contributions change different objects; and these changes are not accessed by each other.,[66; 118; 139; 110],[105; 125],Left changes the object that will be returned by setting the object field binaryVersion.,Right set the field acl on object toPush; which is used by the returned object.,TRUE,FALSE POSITIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,FALSE POSITIVE
5,netty,org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder,decode(ChannelHandlerContext; Channel; ChannelBuffer),193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Roberto,x,x,,Yes,The changes performed by right will only be executed in some cases because of the change performed by Left. So the method return can be different for each version of the merge scenario. In the base commit; the local variable frameLength will be updated; and consequently the buffer will be updated (buffer.skipBytes(buffer.readableBytes())); that is used to create the method return. In the Left commit; as the !lengthFieldIncludedInFrameLength == TRUE; the local variable frameLength will not be updated; and consequently the buffer will not be updated (buffer.skipBytes(buffer.readableBytes())). In the Merge commit; as the !lengthFieldIncludedInFrameLength == TRUE; the local variable frameLength will not be updated; and consequently the buffer will not be updated (buffer.skipBytes(buffer.readableBytes())); but the call for failIfNecessary will update the parameter ctx. A test case to detect the conflict can be found here.,[358; 360],[322; 374],Left updates how variable frameLength is incremented; which is done only if the new conditional in the if statement is true.,Right updates method call failIfNecessary adding a new parameter (boolean value). [But these changes were also done by Left.],TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE
6,OpenTripPlanner,org.opentripplanner.routing.spt.MultiShortestPathTree,dominates(State; State),4c506dce43775704919d084f0acfba86d251bf4a,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Roberto,x,x,,Yes,The new if statement added by right checks an action; which if true returns false. As these modifications are placed before the changes introduced by Left; these last contributions could not be executed under the new circumstances. So the method result may present different return values. The assertion would use the method return (boolean). In the Base commit; all the initial if statements are FALSE; so the method return would be return walkDistanceBetter && weightBetter && timeBetter (it should return FALSE). In the Left commit; all the initial if statements are FALSE; so the method return will be walkDistanceIsHopeful && weightIsHopeful && timeIsHopeful (it should return TRUE). In the Merge commit; all the initial if statements are FALSE; but the new if thisState.isBikeParked() != other.isBikeParked() is TRUE; and the method return FALSE. A test case to detect this conflict can be found here.,[144; 146; 147; 148; 149; 152; 141],[123],Left renames some local variables and updates three boolean local variables used to define the method return.,Right adds a new if statement; which may return false.,TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE
7,webbit,org.webbitserver.netty.WebSocketClient,adjustPipelineToWebSocket(ChannelHandlerContext; MessageEvent; ChannelHandler; ChannelHandler),74d2d2b87704d003acacb34e4ca8fb5f897b938f,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Roberto,x,x,,No,There is no locally observable interference as one of the contributions is a refactoring.,[260],[262],Left sets the version of webSockectConnection object calling the method setHybiWebSocketVersion.,Right changes the order of parameters used to create the local variable webSocketChannelHandler; so it's a refactoring.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
8,resty-gwt,org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator,getMethodCallback(JMethod),867b917c43c32acbdcac55767e7f04334006c866,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Guilherme,x,,,Yes,"The changes are individually supposed to satisfy are not satisfied: left changes method's expected result by right. Suppose a test that receives an ""Overlay"" method returning a primitive type (int; for instance). The test then checks if result type's is ""OverlayCallback"". The test fails on base; passes on right; and fails on the merged version. A test case can be found here.",[83; 84; 85],[86; 87; 88; 89; 90; 91],changed if statement (condition; and block) on method getMethodCallback(JMethod),extracted variable refactoring and added if statement on method getMethodCallback(JMethod),TRUE,TRUE POSITIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,TRUE POSITIVE
9,storm,org.apache.storm.kafka.spout.KafkaSpout,open(Map; TopologyContext; SpoutOutputCollector),ad2be678831b3b060229fd936e3908110162b7ac,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,,,,No,There is no locally observable interference as the contributions change different and not related fields.,[],[118; 102],Left removes the assignment value to field maxRetries; which was also removed by Left.,Right assigns a value for field refreshSubscriptionTimer; which was also added by Right.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
10,storm,org.apache.storm.kafka.spout.KafkaSpoutConfig,KafkaSpoutConfig(Builder<K;V>),ad2be678831b3b060229fd936e3908110162b7ac,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mining,,,,No,There is no locally observable interference as the contributions change different and not related fields.,[],[435; 436; 437; 438; 439; 440; 441; 430; 431],Left removes the assignment for field maxRetries; and also its declaration.,Right removes four fields and adds seven fields with their assignment.,FALSE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE,TRUE NEGATIVE
11,storm,org.apache.storm.kafka.spout.KafkaSpoutConfig,toString(),ad2be678831b3b060229fd936e3908110162b7ac,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leuson,x,,,Yes,Left and Right change the same string that will be returned. This is equivalent to both developers assigning different values to the same variable. A test case should explore the string returned from merge scenario commit. A test case to detect this conflict can be found here.,[],[515; 516; 521; 522],Left removes the field and reference for maxRetries of the returning string from the method toString();,Right performs a refactoring involving the references for key and value variables. It updates how the variable values are accessed (now using get methods instead of directly accessing the values). Right also removes references to the field: kafkaSpoutStreams; tuplesBuilder; topics; and topicWildcardPattern. Finally; it adds reference for subscription and translator.,FALSE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE,FALSE NEGATIVE
